Wavelength (nm),%T,
871.5,0.7616942525,
871.4000244,0.7635566592,
871.2999878,0.7557856441,
871.2000122,0.7776743174,
871.0999756,0.7697024941,
871,0.7785730958,
870.9000244,0.7758492827,
870.7999878,0.7668634057,
870.7000122,0.7715543509,
870.5999756,0.7559034228,
870.5,0.7583121657,
870.4000244,0.7602213621,
870.2999878,0.757819593,
870.2000122,0.7609905601,
870.0999756,0.7434901595,
870,0.7377278805,
869.9000244,0.7207791209,
869.7999878,0.7305486798,
869.7000122,0.7177700996,
869.5999756,0.7008937001,
869.5,0.6975985765,
869.4000244,0.6737279892,
869.2999878,0.6635450125,
869.2000122,0.6516053081,
869.0999756,0.6556864381,
869,0.6350166798,
868.9000244,0.6233879924,
868.7999878,0.6065605879,
868.7000122,0.6031247973,
868.5999756,0.5867660046,
868.5,0.5747198462,
868.4000244,0.5669470429,
868.2999878,0.5485634804,
868.2000122,0.5364499688,
868.0999756,0.5201597214,
868,0.5081000924,
867.9000244,0.5003756285,
867.7999878,0.4862046838,
867.7000122,0.4775389433,
867.5999756,0.4623847008,
867.5,0.4533936381,
867.4000244,0.4356942177,
867.2999878,0.4348706603,
867.2000122,0.4194181561,
867.0999756,0.410438925,
867,0.3959080279,
866.9000244,0.3848246932,
866.7999878,0.3739943206,
866.7000122,0.3688451052,
866.5999756,0.3533581197,
866.5,0.3488310575,
866.4000244,0.3350222707,
866.2999878,0.3291329443,
866.2000122,0.3164420128,
866.0999756,0.3152113557,
866,0.3019025922,
865.9000244,0.2950782478,
865.7999878,0.2892281413,
865.7000122,0.2822629511,
865.5999756,0.2748641968,
865.5,0.2708360851,
865.4000244,0.2576079369,
865.2999878,0.254288882,
865.2000122,0.2473636121,
865.0999756,0.2369512618,
865,0.2311508358,
864.9000244,0.2318109423,
864.7999878,0.2200192362,
864.7000122,0.2178465277,
864.5999756,0.2113967836,
864.5,0.2065669447,
864.4000244,0.2029503733,
864.2999878,0.1995803714,
864.2000122,0.1945504695,
864.0999756,0.192371577,
864,0.1856330931,
863.9000244,0.1780666709,
863.7999878,0.1748866588,
863.7000122,0.1729682982,
863.5999756,0.1709322482,
863.5,0.164767459,
863.4000244,0.163880527,
863.2999878,0.1545530111,
863.2000122,0.1556732357,
863.0999756,0.1516187638,
863,0.1485788524,
862.9000244,0.1425437927,
862.7999878,0.1396395862,
862.7000122,0.1389295012,
862.5999756,0.1376076341,
862.5,0.1341993511,
862.4000244,0.1300769597,
862.2999878,0.1307784617,
862.2000122,0.1243882701,
862.0999756,0.123857297,
862,0.1242652088,
861.9000244,0.1181740984,
861.7999878,0.1189965084,
861.7000122,0.1162465438,
861.5999756,0.1137723476,
861.5,0.1140137687,
861.4000244,0.1075813398,
861.2999878,0.1087368131,
861.2000122,0.1075016782,
861.0999756,0.1045203209,
861,0.1027167514,
860.9000244,0.09917122126,
860.7999878,0.09840047359,
860.7000122,0.09630531818,
860.5999756,0.09588273615,
860.5,0.09700495005,
860.4000244,0.09357026964,
860.2999878,0.09236640483,
860.2000122,0.09045477211,
860.0999756,0.08909099549,
860,0.08720299602,
859.9000244,0.08621963114,
859.7999878,0.08686740696,
859.7000122,0.08382055908,
859.5999756,0.08267554641,
859.5,0.08094402403,
859.4000244,0.07940002531,
859.2999878,0.07892657816,
859.2000122,0.07830999047,
859.0999756,0.07779833674,
859,0.07582619041,
858.9000244,0.07681155205,
858.7999878,0.07516453415,
858.7000122,0.07247574627,
858.5999756,0.07361767441,
858.5,0.07163511962,
858.4000244,0.06959210336,
858.2999878,0.06831225008,
858.2000122,0.06858369708,
858.0999756,0.06805478781,
858,0.06687355042,
857.9000244,0.06694209576,
857.7999878,0.06485673785,
857.7000122,0.06417685747,
857.5999756,0.06383373588,
857.5,0.06534542143,
857.4000244,0.06294762343,
857.2999878,0.06294796616,
857.2000122,0.06084038317,
857.0999756,0.06144276261,
857,0.06080185249,
856.9000244,0.05953197181,
856.7999878,0.05903483182,
856.7000122,0.06034231186,
856.5999756,0.05824751407,
856.5,0.05658124015,
856.4000244,0.05782943964,
856.2999878,0.05516119301,
856.2000122,0.05562372878,
856.0999756,0.05534400791,
856,0.05365951732,
855.9000244,0.05354546756,
855.7999878,0.05265174061,
855.7000122,0.05292996019,
855.5999756,0.05198974535,
855.5,0.05149009451,
855.4000244,0.05269277096,
855.2999878,0.05018816888,
855.2000122,0.05065939203,
855.0999756,0.05009268597,
855,0.04941149428,
854.9000244,0.0487392731,
854.7999878,0.04925772548,
854.7000122,0.04805714265,
854.5999756,0.04810247198,
854.5,0.0474137105,
854.4000244,0.04762506485,
854.2999878,0.04596886039,
854.2000122,0.046091564,
854.0999756,0.0455892235,
854,0.04643440247,
853.9000244,0.04463892803,
853.7999878,0.04474053159,
853.7000122,0.04432741553,
853.5999756,0.04471001029,
853.5,0.04419235513,
853.4000244,0.04387253895,
853.2999878,0.04331933334,
853.2000122,0.04329423234,
853.0999756,0.04280601442,
853,0.0429879725,
852.9000244,0.04195806012,
852.7999878,0.04162026569,
852.7000122,0.04049606249,
852.5999756,0.04221110791,
852.5,0.04116730392,
852.4000244,0.0414599888,
852.2999878,0.04038091749,
852.2000122,0.04176769406,
852.0999756,0.04023994505,
852,0.03900910541,
851.9000244,0.03987372667,
851.7999878,0.04024978727,
851.7000122,0.03893012926,
851.5999756,0.03888342157,
851.5,0.03861927986,
851.4000244,0.03909770772,
851.2999878,0.03865687922,
851.2000122,0.03789722174,
851.0999756,0.03850030154,
851,0.03795274347,
850.9000244,0.0381212607,
850.7999878,0.0388501659,
850.7000122,0.0371719189,
850.5999756,0.03719558939,
850.5,0.03665548936,
850.4000244,0.03666366264,
850.2999878,0.03645378724,
850.2000122,0.03687890247,
850.0999756,0.0365633294,
850,0.03635175526,
849.9000244,0.03596377373,
849.7999878,0.03662467748,
849.7000122,0.03563859686,
849.5999756,0.03499136865,
849.5,0.03511194885,
849.4000244,0.03557523713,
849.2999878,0.03491770104,
849.2000122,0.03514900804,
849.0999756,0.03528014198,
849,0.03449837863,
848.9000244,0.03456696868,
848.7999878,0.03439570591,
848.7000122,0.03394275159,
848.5999756,0.03417207301,
848.5,0.03413495794,
848.4000244,0.03394023329,
848.2999878,0.03470543399,
848.2000122,0.03361416608,
848.0999756,0.03408742324,
848,0.0339160338,
847.9000244,0.03361988813,
847.7999878,0.03324784711,
847.7000122,0.03333088383,
847.5999756,0.03288849443,
847.5,0.03346819058,
847.4000244,0.03342579305,
847.2999878,0.03337654844,
847.2000122,0.03257076815,
847.0999756,0.03311438113,
847,0.03270369023,
846.9000244,0.03313669935,
846.7999878,0.03335269168,
846.7000122,0.03216937929,
846.5999756,0.03203106299,
846.5,0.03229489177,
846.4000244,0.03266579285,
846.2999878,0.03205363452,
846.2000122,0.03211912513,
846.0999756,0.0323584266,
846,0.03240252286,
845.9000244,0.03173094988,
845.7999878,0.0312416181,
845.7000122,0.03179579973,
845.5999756,0.03170579672,
845.5,0.03154587001,
845.4000244,0.03173559159,
845.2999878,0.03153547272,
845.2000122,0.03177992627,
845.0999756,0.03200645,
845,0.03126720339,
844.9000244,0.03069372661,
844.7999878,0.03124125861,
844.7000122,0.03155535087,
844.5999756,0.03140874207,
844.5,0.0322747156,
844.4000244,0.03117486276,
844.2999878,0.03125382215,
844.2000122,0.03133988753,
844.0999756,0.0312325377,
844,0.03165855259,
843.9000244,0.03151662648,
843.7999878,0.03141875938,
843.7000122,0.03162520751,
843.5999756,0.03113405034,
843.5,0.03106096759,
843.4000244,0.03117462061,
843.2999878,0.03170162812,
843.2000122,0.03090136126,
843.0999756,0.03073660471,
843,0.03134650737,
842.9000244,0.03122833185,
842.7999878,0.03124458529,
842.7000122,0.03142207116,
842.5999756,0.03125102073,
842.5,0.03127326444,
842.4000244,0.03122504614,
842.2999878,0.03122745268,
842.2000122,0.03163186461,
842.0999756,0.03185071796,
842,0.03138080612,
841.9000244,0.03145675734,
841.7999878,0.03134139255,
841.7000122,0.03088397533,
841.5999756,0.03098418005,
841.5,0.0313378945,
841.4000244,0.03183084726,
841.2999878,0.03178609163,
841.2000122,0.03221230581,
841.0999756,0.0316557996,
841,0.03169790283,
840.9000244,0.03104300424,
840.7999878,0.03217608482,
840.7000122,0.0319144167,
840.5999756,0.03186734393,
840.5,0.0314254649,
840.4000244,0.03234616667,
840.2999878,0.03163337335,
840.2000122,0.03222492337,
840.0999756,0.03210342675,
840,0.03227336705,
839.9000244,0.0323372297,
839.7999878,0.03212311491,
839.7000122,0.03166810051,
839.5999756,0.03289354593,
839.5,0.03257945925,
839.4000244,0.0326952748,
839.2999878,0.03300596401,
839.2000122,0.03306722641,
839.0999756,0.03271216899,
839,0.03340655565,
838.9000244,0.03271597624,
838.7999878,0.03324028477,
838.7000122,0.03288661316,
838.5999756,0.03340445831,
838.5,0.0334738344,
838.4000244,0.03311458603,
838.2999878,0.03355780244,
838.2000122,0.03353714198,
838.0999756,0.03381135315,
838,0.03415900096,
837.9000244,0.03397207707,
837.7999878,0.03449885547,
837.7000122,0.03342785314,
837.5999756,0.03411379457,
837.5,0.03353697062,
837.4000244,0.03450283408,
837.2999878,0.03455125913,
837.2000122,0.03454938903,
837.0999756,0.03504288197,
837,0.03482919186,
836.9000244,0.03499627113,
836.7999878,0.03523547947,
836.7000122,0.03517273441,
836.5999756,0.03581167385,
836.5,0.03572005406,
836.4000244,0.03532360494,
836.2999878,0.03603215143,
836.2000122,0.03556052595,
836.0999756,0.03570419922,
836,0.03635182977,
835.9000244,0.03640461341,
835.7999878,0.03608761728,
835.7000122,0.0363278687,
835.5999756,0.03692846373,
835.5,0.0375257358,
835.4000244,0.03766897321,
835.2999878,0.037726935,
835.2000122,0.03724307567,
835.0999756,0.03763848171,
835,0.03796407208,
834.9000244,0.03786243498,
834.7999878,0.0384147428,
834.7000122,0.03925342858,
834.5999756,0.03868500888,
834.5,0.03945123777,
834.4000244,0.03872100636,
834.2999878,0.03927440196,
834.2000122,0.04024969414,
834.0999756,0.03924832866,
834,0.03968990594,
833.9000244,0.04036456347,
833.7999878,0.04018038511,
833.7000122,0.04035305977,
833.5999756,0.04112488776,
833.5,0.04092684388,
833.4000244,0.04139359295,
833.2999878,0.04115272313,
833.2000122,0.04217655584,
833.0999756,0.04216505587,
833,0.04226192832,
832.9000244,0.04261884466,
832.7999878,0.04283995554,
832.7000122,0.04333399236,
832.5999756,0.04290799424,
832.5,0.04421408474,
832.4000244,0.04416789114,
832.2999878,0.04407693818,
832.2000122,0.04442641139,
832.0999756,0.04476580396,
832,0.04484564811,
831.9000244,0.04519423842,
831.7999878,0.04600707069,
831.7000122,0.0460983552,
831.5999756,0.0460793525,
831.5,0.04659181088,
831.4000244,0.04772907123,
831.2999878,0.04757335782,
831.2000122,0.04729245231,
831.0999756,0.04806007072,
831,0.04832079634,
830.9000244,0.04890733957,
830.7999878,0.04909197614,
830.7000122,0.04927630723,
830.5999756,0.04941758886,
830.5,0.05016949028,
830.4000244,0.05076124892,
830.2999878,0.05093674362,
830.2000122,0.05160712078,
830.0999756,0.05244430527,
830,0.05289562792,
829.9000244,0.05315554515,
829.7999878,0.05334804952,
829.7000122,0.05338360742,
829.5999756,0.05413550511,
829.5,0.05450445041,
829.4000244,0.0547596477,
829.2999878,0.05513674766,
829.2000122,0.05625753477,
829.0999756,0.05663090944,
829,0.05678234622,
828.9000244,0.05713283271,
828.7999878,0.05798440427,
828.7000122,0.05850666016,
828.5999756,0.05874685198,
828.5,0.05961848795,
828.4000244,0.05995140597,
828.2999878,0.06077222154,
828.2000122,0.06166198105,
828.0999756,0.06153855473,
828,0.06206290424,
827.9000244,0.06335476041,
827.7999878,0.06355826557,
827.7000122,0.06445004046,
827.5999756,0.06545354426,
827.5,0.06584285945,
827.4000244,0.06670878828,
827.2999878,0.06691409647,
827.2000122,0.06783680618,
827.0999756,0.06859000772,
827,0.06901549548,
826.9000244,0.06964492053,
826.7999878,0.07044876367,
826.7000122,0.07123102993,
826.5999756,0.07205221057,
826.5,0.07290575653,
826.4000244,0.07341834158,
826.2999878,0.07501203567,
826.2000122,0.07560451329,
826.0999756,0.07602839917,
826,0.07725851238,
825.9000244,0.07802213728,
825.7999878,0.07910059392,
825.7000122,0.08001610637,
825.5999756,0.08085031062,
825.5,0.08093798906,
825.4000244,0.0826202184,
825.2999878,0.08341550827,
825.2000122,0.08501021564,
825.0999756,0.08485347033,
825,0.08609899879,
824.9000244,0.08708480746,
824.7999878,0.08872491866,
824.7000122,0.09005171061,
824.5999756,0.09073793888,
824.5,0.09212789685,
824.4000244,0.09308202565,
824.2999878,0.09446379542,
824.2000122,0.09571044147,
824.0999756,0.09689103067,
824,0.09830041975,
823.9000244,0.09889027476,
823.7999878,0.1005494148,
823.7000122,0.1018298939,
823.5999756,0.1025036797,
823.5,0.1045790762,
823.4000244,0.1046168953,
823.2999878,0.1074431837,
823.2000122,0.1085585952,
823.0999756,0.1098118573,
823,0.1120049059,
822.9000244,0.112489149,
822.7999878,0.1144831777,
822.7000122,0.1158677712,
822.5999756,0.1178088933,
822.5,0.1190109551,
822.4000244,0.1203194931,
822.2999878,0.1220368892,
822.2000122,0.1243228093,
822.0999756,0.1255813241,
822,0.1272810698,
821.9000244,0.1284892559,
821.7999878,0.1312242746,
821.7000122,0.1319540143,
821.5999756,0.1343579888,
821.5,0.1363888979,
821.4000244,0.1387227774,
821.2999878,0.1400552988,
821.2000122,0.1423021704,
821.0999756,0.1439221352,
821,0.1451148838,
820.9000244,0.1466769129,
820.7999878,0.1496156752,
820.7000122,0.1521547139,
820.5999756,0.1539323181,
820.5,0.1560285985,
820.4000244,0.1585936099,
820.2999878,0.160043925,
820.2000122,0.1628053337,
820.0999756,0.164541617,
820,0.1663817167,
819.9000244,0.169004038,
819.7999878,0.1701024771,
819.7000122,0.1734246761,
819.5999756,0.175592348,
819.5,0.1776160896,
819.4000244,0.1801864356,
819.2999878,0.1832562685,
819.2000122,0.1850194931,
819.0999756,0.1868933439,
819,0.1895898134,
818.9000244,0.191840753,
818.7999878,0.194527179,
818.7000122,0.1962961406,
818.5999756,0.1992565393,
818.5,0.2020231932,
818.4000244,0.2044611126,
818.2999878,0.2067751437,
818.2000122,0.2087107897,
818.0999756,0.2114933431,
818,0.2131238878,
817.9000244,0.2166436315,
817.7999878,0.2183991522,
817.7000122,0.221110642,
817.5999756,0.2224500924,
817.5,0.2252831161,
817.4000244,0.2275786549,
817.2999878,0.2305075526,
817.2000122,0.2314165533,
817.0999756,0.2343551964,
817,0.2367350459,
816.9000244,0.2387868762,
816.7999878,0.2408936173,
816.7000122,0.2432409674,
816.5999756,0.2448296845,
816.5,0.2457808405,
816.4000244,0.2486374527,
816.2999878,0.2508585453,
816.2000122,0.2519837916,
816.0999756,0.2538456321,
816,0.2565481663,
815.9000244,0.2569463253,
815.7999878,0.2596499622,
815.7000122,0.2600967586,
815.5999756,0.2625287175,
815.5,0.2628334761,
815.4000244,0.2656129301,
815.2999878,0.2664504945,
